"","year","month","day","pm2.5","DEWP","TEMP","PRES","Iws","Is","Ir"
"year1_month1_day30",2010,1,30,44.2916666666667,-18.7083333333333,1.95833333333333,1019.54166666667,40.0158333333333,0,0
"year1_month1_day31",2010,1,31,39.25,-15.7916666666667,1.33333333333333,1024.20833333333,62.5104166666667,0,0
"year1_month2_day1",2010,2,1,64.7916666666667,-10.0833333333333,-2.875,1026.75,13.0379166666667,0,0
"year1_month2_day2",2010,2,2,65.625,-16.2916666666667,-5.41666666666667,1028.29166666667,5.95958333333333,0,0
"year1_month2_day3",2010,2,3,77.5416666666667,-19.9583333333333,-5.16666666666667,1028.5,14.9175,0,0
"year1_month2_day4",2010,2,4,58.5,-20.5,-5.04166666666667,1026.79166666667,5.60625,0,0
"year1_month2_day5",2010,2,5,78.4583333333333,-14.3333333333333,-4.08333333333333,1029.83333333333,4.73166666666667,0,0
"year1_month2_day6",2010,2,6,76.125,-10.4583333333333,-5,1030.54166666667,22.81875,0.666666666666667,0
"year1_month2_day7",2010,2,7,109.166666666667,-6.5,-4.33333333333333,1022.66666666667,5.77083333333333,1.70833333333333,0
"year1_month2_day8",2010,2,8,178.083333333333,-5.25,-1.54166666666667,1019.20833333333,3.25791666666667,0,0
"year1_month2_day9",2010,2,9,157.25,-9.83333333333333,0.0416666666666667,1023.79166666667,3.29541666666667,0,0
"year1_month2_day10",2010,2,10,12.4166666666667,-22.2916666666667,-1.58333333333333,1030.95833333333,40.3583333333333,0,0
"year1_month2_day11",2010,2,11,14.3333333333333,-22.125,-3.66666666666667,1035.70833333333,27.0604166666667,0,0
"year1_month2_day12",2010,2,12,23.0833333333333,-21.5416666666667,-5.20833333333333,1034.91666666667,6.85291666666667,0,0
"year1_month2_day13",2010,2,13,78.0833333333333,-17.8333333333333,-4.58333333333333,1028.79166666667,8.95833333333333,0,0
"year1_month2_day14",2010,2,14,131.979166666667,-20,-4.20833333333333,1032.54166666667,9.10791666666667,0,0
"year1_month2_day15",2010,2,15,30,-22.2916666666667,-5.54166666666667,1035.125,5.97708333333333,0,0
"year1_month2_day16",2010,2,16,93.5833333333333,-16.9583333333333,-5.375,1030.20833333333,7.5025,0,0
"year1_month2_day17",2010,2,17,67.2916666666667,-19.0833333333333,-2.29166666666667,1026.25,43.6575,0,0
"year1_month2_day18",2010,2,18,79.6666666666667,-19,-2.04166666666667,1023.70833333333,4.61625,0,0
"year1_month2_day19",2010,2,19,112.958333333333,-15.5833333333333,0.0833333333333333,1016.625,3.7375,0,0
"year1_month2_day20",2010,2,20,178.5,-10.2916666666667,0.875,1012.70833333333,3.64875,0,0
"year1_month2_day21",2010,2,21,125.75,-9.70833333333333,4.20833333333333,1013.29166666667,14.5854166666667,0,0
"year1_month2_day22",2010,2,22,94.5,-7.79166666666667,0.0833333333333333,1018.58333333333,20.10125,0,0
"year1_month2_day23",2010,2,23,166.5,-6.54166666666667,0.0833333333333333,1007.33333333333,1.65541666666667,0,0
"year1_month2_day24",2010,2,24,277.708333333333,-2.5,4.375,1004.20833333333,9.555,0,0
"year1_month2_day25",2010,2,25,169.625,-1.33333333333333,3.91666666666667,1015.625,21.9033333333333,0,0
"year1_month2_day26",2010,2,26,69.875,-6.79166666666667,1.83333333333333,1020.875,35.40375,0,0
"year1_month2_day27",2010,2,27,76.4166666666667,-6.375,-1.25,1019.5,18.3170833333333,0.458333333333333,0
"year1_month2_day28",2010,2,28,83.5833333333333,-7.125,-0.125,1022.41666666667,14.6754166666667,0.875,0
"year1_month3_day1",2010,3,1,57.9166666666667,-5.04166666666667,-2.54166666666667,1022.83333333333,42.0125,1.20833333333333,0
"year1_month3_day2",2010,3,2,90.0833333333333,-8.45833333333333,1.625,1021.16666666667,23.54875,0,0
"year1_month3_day3",2010,3,3,157.875,-6.20833333333333,1.66666666666667,1022.875,7.11458333333333,0,0
"year1_month3_day4",2010,3,4,186.083333333333,-3.45833333333333,2.41666666666667,1015.5,7.93708333333333,0,0.0416666666666667
"year1_month3_day5",2010,3,5,31.3333333333333,-20.3333333333333,0.541666666666667,1026.95833333333,50.3058333333333,0,0
"year1_month3_day6",2010,3,6,50.0416666666667,-17.3333333333333,-2,1033.66666666667,31.5533333333333,0,0
"year1_month3_day7",2010,3,7,87.25,-10.25,-2.45833333333333,1035.25,11.6433333333333,0.0416666666666667,0
"year1_month3_day8",2010,3,8,48.3333333333333,-6.875,-3.33333333333333,1039.5,14.1075,2.75,0
"year1_month3_day9",2010,3,9,18,-17.9583333333333,-3.375,1035.375,97.5508333333333,0,0
"year1_month3_day10",2010,3,10,59.5833333333333,-13.7083333333333,0.75,1021.375,11.4704166666667,0,0
"year1_month3_day11",2010,3,11,171.625,-7.79166666666667,2.20833333333333,1009.41666666667,4.4875,0,0
"year1_month3_day12",2010,3,12,49.2083333333333,-14.2916666666667,5.54166666666667,1017.41666666667,26.3383333333333,0,0
"year1_month3_day13",2010,3,13,62.125,-9.75,2.875,1026.375,21.7079166666667,0,0
"year1_month3_day14",2010,3,14,83.875,-3.54166666666667,0.25,1020.91666666667,10.34,3.375,0.25
"year1_month3_day15",2010,3,15,64.5,-9.75,1.58333333333333,1023.20833333333,61.1029166666667,0,0
"year1_month3_day16",2010,3,16,64.25,-10.7916666666667,0.5,1023.20833333333,4.0425,0,0
"year1_month3_day17",2010,3,17,40.7916666666667,-12.8333333333333,3,1026.33333333333,16.0183333333333,0,0
"year1_month3_day18",2010,3,18,157.666666666667,-3.29166666666667,0.583333333333333,1020.04166666667,4.84083333333333,0.0416666666666667,0
"year1_month3_day19",2010,3,19,228.416666666667,1.79166666666667,4.375,1003.5,3.03166666666667,0,0.25
"year1_month3_day20",2010,3,20,203.041666666667,-6.91666666666667,6.95833333333333,1008.375,83.04875,0,0
"year1_month3_day21",2010,3,21,68.9166666666667,-8.04166666666667,7.45833333333333,1013.75,18.905,0,0
"year1_month3_day22",2010,3,22,157.125,-8,8.625,1014.04166666667,35.6595833333333,0,0
"year1_month3_day23",2010,3,23,52.125,-7.75,7.625,1020.95833333333,28.82625,0,0
"year1_month3_day24",2010,3,24,62.8333333333333,-6.54166666666667,6.75,1022.33333333333,20.0004166666667,0,0.25
"year1_month3_day25",2010,3,25,30.4166666666667,-11,4.375,1026.04166666667,13.7616666666667,0,0
"year1_month3_day26",2010,3,26,67.7083333333333,-10.75,6.5,1019.04166666667,9.47958333333333,0,0
"year1_month3_day27",2010,3,27,72.3333333333333,-8.54166666666667,5.875,1025.25,16.4845833333333,0,0
"year1_month3_day28",2010,3,28,71.7916666666667,-7.16666666666667,6.54166666666667,1026.45833333333,14.4745833333333,0,0
"year1_month3_day29",2010,3,29,213.708333333333,-0.208333333333333,7.54166666666667,1023.45833333333,11.3441666666667,0,0.458333333333333
"year1_month3_day30",2010,3,30,215.085648148148,6.5,8.5,1017.125,9.68666666666667,0,5.08333333333333
"year1_month3_day31",2010,3,31,141.435185185185,1.66666666666667,11.125,1014.41666666667,10.8929166666667,0,0.0416666666666667
"year1_month4_day1",2010,4,1,28.0416666666667,-16.6666666666667,8.66666666666667,1020.125,123.8975,0,0
"year1_month4_day2",2010,4,2,30.75,-15.25,6.54166666666667,1020.375,38.605,0,0
"year1_month4_day3",2010,4,3,101.208333333333,-7.41666666666667,7.91666666666667,1016.91666666667,21.9416666666667,0,0
"year1_month4_day4",2010,4,4,123.5,-4.79166666666667,13.8333333333333,1009.625,7.18958333333333,0,0
"year1_month4_day5",2010,4,5,135.083333333333,1.70833333333333,10.9166666666667,1014,10.46875,0,0.125
"year1_month4_day6",2010,4,6,20.375,-12.2916666666667,10.5,1025.33333333333,17.0591666666667,0,0
"year1_month4_day7",2010,4,7,92.875,-5.91666666666667,11.9166666666667,1020.04166666667,26.17,0,0
"year1_month4_day8",2010,4,8,106,0.875,14.5833333333333,1008.25,109.4975,0,0
"year1_month4_day9",2010,4,9,85.9166666666667,2.25,11.1666666666667,1011.45833333333,19.20375,0,0
"year1_month4_day10",2010,4,10,36.2083333333333,-8.41666666666667,10.5833333333333,1017.625,17.6370833333333,0,0
"year1_month4_day11",2010,4,11,68.75,0.25,6.25,1017,49.2766666666667,0,0.875
"year1_month4_day12",2010,4,12,47.7916666666667,-6.20833333333333,7.08333333333333,1018,60.0566666666667,0,0.0416666666666667
"year1_month4_day13",2010,4,13,20.125,-16.7083333333333,6.375,1026.79166666667,174.660833333333,0,0
"year1_month4_day14",2010,4,14,56.7916666666667,-9.75,7.16666666666667,1026.33333333333,8.60583333333333,0,0
"year1_month4_day15",2010,4,15,171.083333333333,0.708333333333333,6.08333333333333,1020.58333333333,51.5391666666667,0,0
"year1_month4_day16",2010,4,16,211,2.75,8.58333333333333,1018.16666666667,16.4045833333333,0,0
"year1_month4_day17",2010,4,17,147.583333333333,3.375,8.58333333333333,1021.41666666667,72.46875,0,0
"year1_month4_day18",2010,4,18,232.625,6.45833333333333,13.5416666666667,1012.91666666667,3.20416666666667,0,0
"year1_month4_day19",2010,4,19,211.125,7.95833333333333,14.2083333333333,1014.20833333333,16.44625,0,0.25
"year1_month4_day20",2010,4,20,82.8333333333333,4,13.875,1019.08333333333,7.43125,0,0
"year1_month4_day21",2010,4,21,39.5833333333333,2.20833333333333,12.0416666666667,1022.20833333333,14.7116666666667,0,0.5
"year1_month4_day22",2010,4,22,39.4166666666667,5.33333333333333,9.45833333333333,1020.95833333333,13.3383333333333,0,5.125
"year1_month4_day23",2010,4,23,33.1666666666667,-4.04166666666667,13.2083333333333,1020.33333333333,10.7854166666667,0,0
"year1_month4_day24",2010,4,24,86.5416666666667,1.33333333333333,16.7916666666667,1016.33333333333,36.405,0,0
"year1_month4_day25",2010,4,25,87.5,6.54166666666667,13.8333333333333,1014.58333333333,83.1720833333333,0,0.625
"year1_month4_day26",2010,4,26,13.375,-5.45833333333333,8.875,1013.54166666667,24.7204166666667,0,0.0416666666666667
"year1_month4_day27",2010,4,27,24.6666666666667,-10.7083333333333,8.70833333333333,1009.29166666667,138.904583333333,0,0
"year1_month4_day28",2010,4,28,16.375,-9.58333333333333,10.5,1012.58333333333,319.027083333333,0,0
"year1_month4_day29",2010,4,29,18.6666666666667,-6.75,14.0416666666667,1013.20833333333,90.6904166666667,0,0
"year1_month4_day30",2010,4,30,27.5833333333333,-5.70833333333333,18.375,1013.79166666667,164.905833333333,0,0
"year1_month5_day1",2010,5,1,69.375,-0.0833333333333333,20.8333333333333,1006.08333333333,17.1104166666667,0,0
"year1_month5_day2",2010,5,2,78.0416666666667,0.375,23.875,1002.25,19.7595833333333,0,0
"year1_month5_day3",2010,5,3,109.875,3.25,19.6666666666667,1007.45833333333,4.59916666666667,0,0
"year1_month5_day4",2010,5,4,137.291666666667,11.625,19.6666666666667,1002.54166666667,12.3283333333333,0,0.5
"year1_month5_day5",2010,5,5,125.458333333333,9.70833333333333,18.8333333333333,998.25,66.0833333333333,0,0.583333333333333
"year1_month5_day6",2010,5,6,18.9583333333333,0.25,20.625,1006,54.3208333333333,0,0
"year1_month5_day7",2010,5,7,96.4166666666667,2.41666666666667,21.6666666666667,1003.33333333333,38.77625,0,0
"year1_month5_day8",2010,5,8,128.291666666667,6.5,19.5416666666667,1006.79166666667,17.47125,0,0
"year1_month5_day9",2010,5,9,79.875,0.666666666666667,17.2916666666667,1007.08333333333,33.4016666666667,0,0.125
"year1_month5_day10",2010,5,10,47.4583333333333,-0.458333333333333,16.8333333333333,1005.95833333333,49.9470833333333,0,0
"year1_month5_day11",2010,5,11,16.0416666666667,2,17.9583333333333,1014.70833333333,60.12125,0,0
"year1_month5_day12",2010,5,12,43.6666666666667,5.95833333333333,17.4166666666667,1017.875,13.7491666666667,0,0
"year1_month5_day13",2010,5,13,67.3333333333333,6.125,18.7083333333333,1017.5,13.3908333333333,0,0
"year1_month5_day14",2010,5,14,136.125,9.29166666666667,18,1015,9.4825,0,0.666666666666667
"year1_month5_day15",2010,5,15,181.75,12.25,21.4583333333333,1012.58333333333,8.51125,0,0
"year1_month5_day16",2010,5,16,109.958333333333,12.375,18.7083333333333,1014,63.3095833333333,0,1.54166666666667
"year1_month5_day17",2010,5,17,69.375,13.2916666666667,16.4583333333333,1009.70833333333,14.1016666666667,0,1.16666666666667
"year1_month5_day18",2010,5,18,51.625,10.25,17.5416666666667,1002.04166666667,19.48125,0,0.958333333333333
"year1_month5_day19",2010,5,19,33.9166666666667,3.75,24.0833333333333,999.791666666667,13.74375,0,0
"year1_month5_day20",2010,5,20,64.0833333333333,4.875,25.4166666666667,1004.70833333333,13.8916666666667,0,0
"year1_month5_day21",2010,5,21,108.208333333333,10.875,23.375,1007.08333333333,19.445,0,0
"year1_month5_day22",2010,5,22,151.333333333333,11.5,22.4166666666667,1005.70833333333,7.57666666666667,0,0
"year1_month5_day23",2010,5,23,125.25,9.95833333333333,24.1666666666667,1000.54166666667,7.59791666666667,0,0.0416666666666667
"year1_month5_day24",2010,5,24,45.7916666666667,7.33333333333333,23.4166666666667,1003.20833333333,24.2716666666667,0,0
"year1_month5_day25",2010,5,25,33.2083333333333,3.95833333333333,24.875,1010.375,8.23458333333333,0,0
"year1_month5_day26",2010,5,26,81.9166666666667,11,25.1666666666667,1012.83333333333,22.11125,0,0
"year1_month5_day27",2010,5,27,85.3541666666667,14.5416666666667,20.8333333333333,1014.95833333333,3.74333333333333,0,3.41666666666667
"year1_month5_day28",2010,5,28,130.875,16.1666666666667,19.125,1009.70833333333,4.02333333333333,0,7.45833333333333
"year1_month5_day29",2010,5,29,143.5,13.0416666666667,22.7916666666667,1004.875,6.32916666666667,0,0
"year1_month5_day30",2010,5,30,39.4583333333333,11.125,23.2083333333333,1007.16666666667,9.51583333333333,0,0.0416666666666667
"year1_month5_day31",2010,5,31,84.4166666666667,13.2916666666667,21.8333333333333,1014.66666666667,7.56333333333333,0,0.0833333333333333
"year1_month6_day1",2010,6,1,109.8875,14.4166666666667,20.875,1015.20833333333,4.89625,0,0.125
"year1_month6_day2",2010,6,2,93.4458333333333,14.75,20.1666666666667,1016,3.29625,0,0.416666666666667
"year1_month6_day3",2010,6,3,115.458333333333,13.0416666666667,21.75,1017.33333333333,8.21,0,0
"year1_month6_day4",2010,6,4,81.3390410958904,11.8333333333333,22.6666666666667,1015.29166666667,13.4416666666667,0,0
"year1_month6_day5",2010,6,5,101.171232876712,12.3333333333333,23.7083333333333,1012.04166666667,12.1208333333333,0,0
"year1_month6_day6",2010,6,6,125.828767123288,12.625,24.8333333333333,1011.125,16.62875,0,0
"year1_month6_day7",2010,6,7,137.952625570776,15.2083333333333,25.3333333333333,1012.54166666667,22.2766666666667,0,0
"year1_month6_day8",2010,6,8,158.09649122807,12.7083333333333,25.75,1013.75,13.4133333333333,0,0
"year1_month6_day9",2010,6,9,83.8826754385965,12.0833333333333,25.5,1013.83333333333,7.09416666666667,0,0
"year1_month6_day10",2010,6,10,49.875,14.625,21.125,1013.33333333333,12.6116666666667,0,0.625
"year1_month6_day11",2010,6,11,86.8333333333333,15.4583333333333,21.375,1011.54166666667,6.78125,0,0
"year1_month6_day12",2010,6,12,110.166666666667,16.2916666666667,24.5,1007.70833333333,7.15208333333333,0,0.125
"year1_month6_day13",2010,6,13,115.958333333333,17.7083333333333,23.4166666666667,1005.20833333333,23.9729166666667,0,0.666666666666667
"year1_month6_day14",2010,6,14,83.6666666666667,18.0833333333333,24,1003.70833333333,9.46,0,0
"year1_month6_day15",2010,6,15,146.375,18.7916666666667,26.6666666666667,1001.04166666667,3.22125,0,0.0416666666666667
"year1_month6_day16",2010,6,16,93.9166666666667,18.7083333333333,25.3333333333333,1000.375,6.03458333333333,0,0.25
"year1_month6_day17",2010,6,17,36.6666666666667,17.4583333333333,19.7083333333333,1002.08333333333,3.72416666666667,0,0.625
"year1_month6_day18",2010,6,18,67.0833333333333,17.0416666666667,21.7916666666667,1003.375,5.73583333333333,0,0
"year1_month6_day19",2010,6,19,94.5,18.0833333333333,24.4166666666667,1004.33333333333,5.62416666666667,0,0
"year1_month6_day20",2010,6,20,80.5,16.0416666666667,27.9166666666667,1006.91666666667,11.4570833333333,0,0
"year1_month6_day21",2010,6,21,74.2083333333333,15.375,25.6666666666667,1003.70833333333,6.09,0,0.0416666666666667
"year1_month6_day22",2010,6,22,132.791666666667,17.0416666666667,26.75,1004.75,19.6495833333333,0,0.0416666666666667
"year1_month6_day23",2010,6,23,90.7083333333333,10.9583333333333,25.9583333333333,1009.45833333333,9.79041666666667,0,0
"year1_month6_day24",2010,6,24,76.8333333333333,13.0416666666667,26.0833333333333,1008,9.79875,0,0
"year1_month6_day25",2010,6,25,163.416666666667,15.7083333333333,25.9166666666667,1008,8.94125,0,0
"year1_month6_day26",2010,6,26,173.416666666667,16.5833333333333,26.1666666666667,1006.45833333333,8.38083333333333,0,0
"year1_month6_day27",2010,6,27,117.958333333333,15.625,25.75,1003.95833333333,10.9729166666667,0,0.166666666666667
"year1_month6_day28",2010,6,28,153.416666666667,18.9583333333333,26.4166666666667,1001.79166666667,12.7929166666667,0,0
"year1_month6_day29",2010,6,29,188.541666666667,19.5416666666667,27.25,1002.91666666667,13.8929166666667,0,0
"year1_month6_day30",2010,6,30,177.5,20.0416666666667,26.25,1002.66666666667,7.80583333333333,0,0
"year1_month7_day1",2010,7,1,126.166666666667,21.1666666666667,23.875,1000.375,5.38416666666667,0,1.5
"year1_month7_day2",2010,7,2,27.5416666666667,16.9166666666667,28.5833333333333,999.583333333333,11.4170833333333,0,0
"year1_month7_day3",2010,7,3,68.9583333333333,19.125,30.5,999.791666666667,9.04958333333333,0,0
"year1_month7_day4",2010,7,4,91.7916666666667,19.125,30.9583333333333,999.625,9.31333333333333,0,0.0416666666666667
"year1_month7_day5",2010,7,5,48.0833333333333,12.2916666666667,32.375,999.625,14.9579166666667,0,0
"year1_month7_day6",2010,7,6,25.5833333333333,9.66666666666667,32.875,1000.20833333333,13.7625,0,0
"year1_month7_day7",2010,7,7,56.9166666666667,16.125,27.3333333333333,1004.25,9.42375,0,0
"year1_month7_day8",2010,7,8,45.625,14.625,29.9166666666667,1005.625,8.99791666666667,0,0
"year1_month7_day9",2010,7,9,86.1666666666667,18.25,25.5,1006.25,12.3858333333333,0,1.08333333333333
"year1_month7_day10",2010,7,10,80.875,19.7916666666667,21.6666666666667,1005.54166666667,12.7275,0,3.20833333333333
"year1_month7_day11",2010,7,11,163.916666666667,20.4166666666667,22.875,1004.54166666667,23.1045833333333,0,0.666666666666667
"year1_month7_day12",2010,7,12,120.958333333333,20.4166666666667,22.875,1006.29166666667,2.57041666666667,0,0.0416666666666667
"year1_month7_day13",2010,7,13,106.25,20.875,24.4583333333333,1009.41666666667,7.86083333333333,0,0.416666666666667
"year1_month7_day14",2010,7,14,129.291666666667,21.7083333333333,25.2083333333333,1009.83333333333,3.72416666666667,0,0
"year1_month7_day15",2010,7,15,195.916666666667,21.8333333333333,24.0833333333333,1006.33333333333,4.60125,0,0.375
"year1_month7_day16",2010,7,16,202.75,22.5833333333333,26.75,1004.33333333333,8.73666666666667,0,0.125
"year1_month7_day17",2010,7,17,113.666666666667,22.1666666666667,27.875,1005.91666666667,8.99833333333333,0,0.0416666666666667
"year1_month7_day18",2010,7,18,156.041666666667,22.5833333333333,28.25,1005.66666666667,18.1233333333333,0,0.0416666666666667
"year1_month7_day19",2010,7,19,167.833333333333,22.25,25.25,1006.33333333333,35.4329166666667,0,1.25
"year1_month7_day20",2010,7,20,43.1666666666667,19.8333333333333,25.9583333333333,1003.45833333333,15.0470833333333,0,0.583333333333333
"year1_month7_day21",2010,7,21,70.8333333333333,21.625,27.0416666666667,1006.20833333333,13.9083333333333,0,0
"year1_month7_day22",2010,7,22,163.458333333333,23.4583333333333,28.25,1007.875,9.48208333333333,0,0
"year1_month7_day23",2010,7,23,173.541666666667,23.4583333333333,29.8333333333333,1008.08333333333,17.4525,0,0
"year1_month7_day24",2010,7,24,94.0833333333333,23.0416666666667,30.1666666666667,1010.08333333333,25.1108333333333,0,0
"year1_month7_day25",2010,7,25,164.208333333333,23.3333333333333,30.0416666666667,1009.66666666667,23.8975,0,0
"year1_month7_day26",2010,7,26,210.875,24.3333333333333,29.2083333333333,1008.125,9.57416666666667,0,0
"year1_month7_day27",2010,7,27,183.75,23.75,30.4583333333333,1004.375,23.5066666666667,0,0
"year1_month7_day28",2010,7,28,176.75,23.9583333333333,30.5833333333333,999.458333333333,49.10625,0,0
"year1_month7_day29",2010,7,29,197.583333333333,26.2083333333333,30.2083333333333,996.208333333333,21.2175,0,0.25
"year1_month7_day30",2010,7,30,214.916666666667,25.25,27.875,998.833333333333,6.12541666666667,0,0.125
"year1_month7_day31",2010,7,31,125.583333333333,22.625,28.7916666666667,1000.125,14.3729166666667,0,0.25
"year1_month8_day1",2010,8,1,41.5416666666667,18.2083333333333,26.9583333333333,1008.29166666667,12.51625,0,0.0833333333333333
"year1_month8_day2",2010,8,2,68.7916666666667,16.25,26.2083333333333,1008.08333333333,8.67625,0,0
"year1_month8_day3",2010,8,3,146.166666666667,18.9583333333333,25.7083333333333,1002.54166666667,9.09333333333333,0,0
"year1_month8_day4",2010,8,4,120.083333333333,21.375,24.5416666666667,1003,15.0825,0,0.416666666666667
"year1_month8_day5",2010,8,5,22.4166666666667,13.2083333333333,26.875,1008,57.5770833333333,0,0
"year1_month8_day6",2010,8,6,19.875,13.0416666666667,24.4166666666667,1015.20833333333,69.7783333333333,0,0
"year1_month8_day7",2010,8,7,79.875,18.0416666666667,24.5,1010.875,15.55125,0,0.25
"year1_month8_day8",2010,8,8,92.8333333333333,20.0416666666667,25.4166666666667,1004.125,8.83083333333333,0,0.916666666666667
"year1_month8_day9",2010,8,9,238.166666666667,22.4166666666667,27.2916666666667,1003.875,4.91916666666667,0,0
"year1_month8_day10",2010,8,10,148.166666666667,18.8333333333333,27.4583333333333,1006.25,11.8116666666667,0,0
"year1_month8_day11",2010,8,11,116.166666666667,21.9583333333333,25.2083333333333,1004.95833333333,21.6879166666667,0,0.25
"year1_month8_day12",2010,8,12,92.3333333333333,21.2916666666667,26.75,1001.16666666667,4.76666666666667,0,0
"year1_month8_day13",2010,8,13,132.348429951691,24.5833333333333,27.4166666666667,1000.91666666667,7.11583333333333,0,0.0833333333333333
"year1_month8_day14",2010,8,14,136.347826086957,13.4166666666667,29.375,999.416666666667,22.9283333333333,0,0
"year1_month8_day15",2010,8,15,125.217391304348,11.1666666666667,28.6666666666667,1004.33333333333,19.6645833333333,0,0
"year1_month8_day16",2010,8,16,102.336352657005,16.0833333333333,27.875,1006.75,11.1904166666667,0,0
"year1_month8_day17",2010,8,17,141.875,18.4583333333333,27.625,1007.83333333333,34.385,0,0
"year1_month8_day18",2010,8,18,233.833333333333,22.5,25.5,1010.16666666667,41.36,0,2.04166666666667
"year1_month8_day19",2010,8,19,110.166666666667,21.3333333333333,24.625,1011.83333333333,9.11166666666667,0,2.125
"year1_month8_day20",2010,8,20,119.25,22.1666666666667,26.4583333333333,1013.875,10.22625,0,0
"year1_month8_day21",2010,8,21,38.6666666666667,19.375,21.4166666666667,1012,15.1625,0,4.45833333333333
"year1_month8_day22",2010,8,22,21.9583333333333,16.2916666666667,23,1013.16666666667,10.6716666666667,0,0.208333333333333
"year1_month8_day23",2010,8,23,79.375,18.6666666666667,23.7083333333333,1013.70833333333,6.5375,0,0
"year1_month8_day24",2010,8,24,132.375,19.4166666666667,24.3333333333333,1013.625,15.5916666666667,0,0
"year1_month8_day25",2010,8,25,87.625,17.625,23.0416666666667,1014.54166666667,3.59333333333333,0,0
"year1_month8_day26",2010,8,26,63.875,17,25.0416666666667,1014.25,7.46916666666667,0,0
"year1_month8_day27",2010,8,27,39.4166666666667,15.1666666666667,24.8333333333333,1012.58333333333,17.1379166666667,0,0
"year1_month8_day28",2010,8,28,47.6666666666667,16.5416666666667,24.75,1010.20833333333,11.5858333333333,0,0
"year1_month8_day29",2010,8,29,114.833333333333,18.9583333333333,25.7083333333333,1007.5,10.13375,0,0
"year1_month8_day30",2010,8,30,109.416666666667,19.75,25.4583333333333,1007.79166666667,6.20541666666667,0,0.0416666666666667
"year1_month8_day31",2010,8,31,88.7916666666667,19.5416666666667,23.7916666666667,1010.125,5.19791666666667,0,0.125
"year1_month9_day1",2010,8,1,41.5416666666667,18.2083333333333,26.9583333333333,1008.29166666667,12.51625,0,0.0833333333333333
"year1_month9_day2",2010,8,2,68.7916666666667,16.25,26.2083333333333,1008.08333333333,8.67625,0,0
